Inverter All History Report_12/02/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,12/02/2023 04:57:00 (UTC-4:00),Normal, ,143.6,0.1,14,145.8,0.1,15,142.4,0.1,14,2.6,0.1,0,222.9,0.0,20.000,60.050,0.000,457.000,1832.000,21309.000,25.9, ,0.00,0.000,0.000,0.000, 
2,12/02/2023 05:02:01 (UTC-4:00),Normal, ,284.5,0.1,28,284.1,0.1,28,284.3,0.1,28,16.0,0.1,0,220.5,2.6,20.000,60.060,0.000,457.000,1832.000,21309.000,26.6, ,0.00,0.000,0.000,0.000, 
3,12/02/2023 05:07:01 (UTC-4:00),Normal, ,291.8,0.1,29,291.0,0.1,29,291.2,0.1,29,17.4,0.1,0,220.6,2.6,20.000,59.970,0.000,457.000,1832.000,21309.000,27.0, ,0.00,0.000,0.000,0.000, 
4,12/02/2023 05:12:04 (UTC-4:00),Normal, ,300.8,0.1,30,300.2,0.1,30,300.2,0.1,30,14.5,0.1,0,220.8,2.6,20.000,60.000,0.000,457.000,1832.000,21309.000,27.6, ,0.00,0.000,0.000,0.000, 
5,12/02/2023 05:17:10 (UTC-4:00),Normal, ,304.9,0.1,30,310.7,0.1,31,310.6,0.1,31,10.6,0.1,0,221.0,2.6,50.000,60.000,0.000,457.000,1832.000,21309.000,28.1, ,0.00,0.000,0.000,0.000, 
6,12/02/2023 05:22:16 (UTC-4:00),Normal, ,305.0,0.2,61,310.4,0.1,31,310.6,0.1,31,10.9,0.1,0,221.2,2.6,90.000,60.000,0.000,457.000,1832.000,21309.000,28.6, ,0.00,0.000,0.000,0.000, 
7,12/02/2023 05:27:19 (UTC-4:00),Normal, ,299.0,0.2,60,310.9,0.1,31,311.0,0.1,31,12.3,0.1,0,221.0,2.6,140.000,59.990,0.000,457.000,1832.000,21309.000,29.0, ,0.00,0.000,0.000,0.000, 
8,12/02/2023 05:32:23 (UTC-4:00),Normal, ,326.8,0.2,65,310.7,0.2,62,310.8,0.2,62,14.8,0.1,0,220.5,2.7,180.000,60.030,0.000,457.000,1832.000,21309.000,29.5, ,0.00,0.000,0.000,0.000, 
9,12/02/2023 05:32:34 (UTC-4:00),Normal, ,326.8,0.2,65,310.7,0.2,62,310.8,0.2,62,14.8,0.1,0,220.5,2.7,180.000,60.030,0.000,457.000,1832.000,21309.000,29.5, ,0.00,0.000,0.000,0.000, 
10,12/02/2023 05:37:26 (UTC-4:00),Normal, ,340.9,0.3,102,321.0,0.2,64,330.8,0.2,66,14.8,0.1,0,220.8,2.8,240.000,59.970,0.000,457.000,1832.000,21309.000,29.9, ,0.00,0.000,0.000,0.000, 
11,12/02/2023 05:42:27 (UTC-4:00),Normal, ,339.0,0.4,136,335.1,0.3,101,337.1,0.3,101,17.5,0.1,0,220.8,2.9,300.000,60.010,0.000,457.000,1832.000,21309.000,30.2, ,0.00,0.000,0.000,0.000, 
12,12/02/2023 05:47:27 (UTC-4:00),Normal, ,355.4,0.5,178,347.1,0.4,139,353.4,0.4,141,17.0,0.1,0,221.1,3.1,410.000,60.030,0.100,457.000,1832.000,21309.000,30.5, ,0.00,0.000,0.000,0.000, 
