Inverter All History Report_04/02/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,04/02/2023 04:55:16 (UTC-4:00),Normal, ,119.3,0.1,12,123.5,0.1,12,122.1,0.1,12,2.4,0.1,0,220.6,0.0,20.000,60.000,0.000,126.000,1501.000,20978.000,25.6, ,0.00,0.000,0.000,0.000, 
2,04/02/2023 05:00:16 (UTC-4:00),Normal, ,353.1,0.1,35,352.5,0.1,35,352.8,0.1,35,16.9,0.1,0,220.9,2.6,20.000,59.990,0.000,126.000,1501.000,20978.000,26.2, ,0.00,0.000,0.000,0.000, 
3,04/02/2023 05:05:16 (UTC-4:00),Normal, ,288.7,0.1,29,288.1,0.1,29,288.1,0.1,29,16.4,0.1,0,220.8,2.6,20.000,59.970,0.000,126.000,1501.000,20978.000,26.7, ,0.00,0.000,0.000,0.000, 
4,04/02/2023 05:10:18 (UTC-4:00),Normal, ,299.1,0.1,30,298.4,0.1,30,298.4,0.1,30,17.7,0.1,0,220.8,2.6,20.000,60.010,0.000,126.000,1501.000,20978.000,27.2, ,0.00,0.000,0.000,0.000, 
5,04/02/2023 05:15:23 (UTC-4:00),Normal, ,302.9,0.1,30,302.4,0.1,30,302.5,0.1,30,12.8,0.1,0,221.0,2.6,30.000,60.050,0.000,126.000,1501.000,20978.000,27.7, ,0.00,0.000,0.000,0.000, 
6,04/02/2023 05:20:24 (UTC-4:00),Normal, ,303.1,0.2,61,310.9,0.1,31,310.8,0.1,31,18.1,0.1,0,221.0,2.6,110.000,59.980,0.000,126.000,1501.000,20978.000,28.2, ,0.00,0.000,0.000,0.000, 
7,04/02/2023 05:25:28 (UTC-4:00),Normal, ,301.1,0.2,60,310.8,0.2,62,310.7,0.1,31,11.4,0.1,0,221.0,2.6,150.000,60.000,0.100,126.000,1501.000,20978.000,28.6, ,0.00,0.000,0.000,0.000, 
8,04/02/2023 05:30:32 (UTC-4:00),Normal, ,337.1,0.2,67,310.8,0.2,62,310.9,0.2,62,18.2,0.1,0,220.8,2.7,180.000,60.030,0.100,126.000,1501.000,20978.000,29.1, ,0.00,0.000,0.000,0.000, 
9,04/02/2023 05:35:36 (UTC-4:00),Normal, ,324.8,0.3,97,310.4,0.2,62,310.6,0.2,62,12.9,0.1,0,220.4,2.8,200.000,59.990,0.100,126.000,1501.000,20978.000,29.5, ,0.00,0.000,0.000,0.000, 
10,04/02/2023 05:40:40 (UTC-4:00),Normal, ,333.1,0.3,100,324.7,0.2,65,334.7,0.2,67,17.0,0.1,0,220.3,2.8,250.000,60.020,0.100,126.000,1501.000,20978.000,29.9, ,0.00,0.000,0.000,0.000, 
11,04/02/2023 05:45:44 (UTC-4:00),Normal, ,344.8,0.4,138,336.3,0.3,101,338.1,0.3,101,12.2,0.1,0,220.5,2.9,340.000,60.010,0.100,126.000,1501.000,20978.000,30.2, ,0.00,0.000,0.000,0.000, 
12,04/02/2023 05:50:48 (UTC-4:00),Normal, ,356.9,0.4,143,344.7,0.4,138,342.7,0.4,137,10.9,0.1,0,220.9,3.2,450.000,60.010,0.200,126.000,1502.000,20978.000,30.5, ,0.00,0.000,0.000,0.000, 
