Inverter All History Report_06/06/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,06/06/2022 05:39:41 (UTC-4:00),Normal, ,147.8,0.1,15,149.4,0.1,15,152.1,0.1,15,2.0,0.1,0,221.5,0.0,20.000,60.020,0.000,141.000,6486.000,11247.000,21.4, ,0.00,0.000,0.000,0.000, 
2,06/06/2022 05:44:41 (UTC-4:00),Normal, ,288.9,0.1,29,288.5,0.1,29,289.0,0.1,29,12.3,0.1,0,221.8,2.6,20.000,60.060,0.000,141.000,6486.000,11247.000,21.6, ,0.00,0.000,0.000,0.000, 
3,06/06/2022 05:49:40 (UTC-4:00),Normal, ,302.7,0.1,30,302.0,0.1,30,302.3,0.1,30,18.3,0.1,0,219.9,2.6,20.000,60.030,0.000,141.000,6486.000,11247.000,22.2, ,0.00,0.000,0.000,0.000, 
4,06/06/2022 05:54:43 (UTC-4:00),Normal, ,307.1,0.1,31,306.8,0.1,31,307.0,0.1,31,13.3,0.1,0,220.5,2.5,20.000,60.020,0.000,141.000,6486.000,11247.000,22.8, ,0.00,0.000,0.000,0.000, 
5,06/06/2022 05:59:45 (UTC-4:00),Normal, ,314.2,0.1,31,314.7,0.1,31,314.6,0.1,31,18.7,0.1,0,220.0,2.6,20.000,60.000,0.000,141.000,6486.000,11247.000,23.1, ,0.00,0.000,0.000,0.000, 
6,06/06/2022 06:04:51 (UTC-4:00),Normal, ,317.2,0.1,32,317.8,0.1,32,317.9,0.1,32,14.7,0.1,0,219.1,2.6,50.000,59.930,0.000,141.000,6486.000,11247.000,23.5, ,0.00,0.000,0.000,0.000, 
7,06/06/2022 06:09:55 (UTC-4:00),Normal, ,317.2,0.1,32,323.3,0.1,32,324.1,0.1,32,14.9,0.1,0,218.9,2.6,90.000,59.980,0.100,141.000,6486.000,11247.000,23.8, ,0.00,0.000,0.000,0.000, 
8,06/06/2022 06:15:00 (UTC-4:00),Normal, ,317.4,0.2,63,329.8,0.1,33,330.7,0.1,33,18.8,0.1,0,221.3,2.6,110.000,59.990,0.100,141.000,6486.000,11247.000,24.1, ,0.00,0.000,0.000,0.000, 
9,06/06/2022 06:20:08 (UTC-4:00),Normal, ,341.2,0.2,68,327.8,0.1,33,328.7,0.2,66,15.0,0.1,0,220.2,2.7,190.000,59.960,0.100,141.000,6486.000,11247.000,24.3, ,0.00,0.000,0.000,0.000, 
10,06/06/2022 06:25:04 (UTC-4:00),Normal, ,319.3,0.4,128,328.0,0.2,66,385.0,0.4,154,18.4,0.1,0,220.4,2.8,270.000,59.980,0.100,141.000,6486.000,11247.000,24.6, ,0.00,0.000,0.000,0.000, 
11,06/06/2022 06:25:15 (UTC-4:00),Normal, ,319.3,0.4,128,328.0,0.2,66,385.0,0.4,154,18.4,0.1,0,220.4,2.8,270.000,59.980,0.100,141.000,6486.000,11247.000,24.6, ,0.00,0.000,0.000,0.000, 
12,06/06/2022 06:30:12 (UTC-4:00),Normal, ,297.6,0.6,179,328.0,0.2,66,362.7,0.5,181,14.3,0.1,0,219.8,3.1,410.000,60.010,0.100,141.000,6486.000,11247.000,25.0, ,0.00,0.000,0.000,0.000, 
