Inverter All History Report_26/02/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,26/02/2023 05:01:48 (UTC-4:00),Normal, ,101.0,0.1,10,104.5,0.1,10,102.4,0.1,10,2.4,0.1,0,221.7,0.0,20.000,60.030,0.000,1049.000,2424.000,21901.000,26.0, ,0.00,0.000,0.000,0.000, 
2,26/02/2023 05:06:48 (UTC-4:00),Normal, ,361.9,0.1,36,361.4,0.1,36,361.6,0.1,36,11.6,0.1,0,221.8,2.6,20.000,60.050,0.000,1049.000,2424.000,21901.000,26.4, ,0.00,0.000,0.000,0.000, 
3,26/02/2023 05:11:49 (UTC-4:00),Normal, ,295.4,0.1,30,295.0,0.1,30,295.0,0.1,30,18.7,0.1,0,221.9,2.6,20.000,60.020,0.000,1049.000,2424.000,21901.000,27.1, ,0.00,0.000,0.000,0.000, 
4,26/02/2023 05:16:52 (UTC-4:00),Normal, ,303.0,0.1,30,302.4,0.1,30,302.6,0.1,30,12.9,0.1,0,221.9,2.6,20.000,60.010,0.000,1049.000,2424.000,21901.000,27.7, ,0.00,0.000,0.000,0.000, 
5,26/02/2023 05:21:55 (UTC-4:00),Normal, ,306.9,0.1,31,306.4,0.1,31,306.2,0.1,31,18.4,0.1,0,222.5,2.6,20.000,60.010,0.000,1049.000,2424.000,21901.000,28.1, ,0.00,0.000,0.000,0.000, 
6,26/02/2023 05:27:00 (UTC-4:00),Normal, ,306.8,0.2,61,311.9,0.1,31,311.8,0.1,31,14.9,0.1,0,222.5,2.6,110.000,60.020,0.000,1049.000,2424.000,21901.000,28.6, ,0.00,0.000,0.000,0.000, 
7,26/02/2023 05:32:04 (UTC-4:00),Normal, ,310.8,0.3,93,319.9,0.3,96,311.7,0.2,62,11.8,0.1,0,222.5,2.8,260.000,60.030,0.000,1049.000,2424.000,21901.000,29.1, ,0.00,0.000,0.000,0.000, 
8,26/02/2023 05:37:08 (UTC-4:00),Normal, ,310.9,0.4,124,340.0,0.4,136,343.9,0.3,103,10.8,0.1,0,222.5,3.0,350.000,60.030,0.100,1049.000,2424.000,21901.000,29.6, ,0.00,0.000,0.000,0.000, 
9,26/02/2023 05:42:13 (UTC-4:00),Normal, ,316.6,0.5,158,345.3,0.4,138,357.7,0.4,143,14.1,0.1,0,222.5,3.4,480.000,60.060,0.100,1049.000,2424.000,21901.000,30.2, ,0.00,0.000,0.000,0.000, 
10,26/02/2023 05:47:18 (UTC-4:00),Normal, ,316.7,0.7,222,341.9,0.6,205,361.7,0.6,217,13.8,0.1,0,222.4,3.7,620.000,59.980,0.100,1049.000,2424.000,21901.000,30.6, ,0.00,0.000,0.000,0.000, 
11,26/02/2023 05:52:21 (UTC-4:00),Normal, ,312.9,0.7,219,338.0,0.6,203,357.9,0.6,215,17.4,0.1,0,222.7,3.7,610.000,60.030,0.200,1049.000,2424.000,21901.000,31.0, ,0.00,0.000,0.000,0.000, 
12,26/02/2023 05:57:26 (UTC-4:00),Normal, ,314.8,0.7,220,335.8,0.6,201,355.7,0.6,213,17.3,0.1,0,222.5,3.7,640.000,60.060,0.200,1049.000,2424.000,21901.000,31.4, ,0.00,0.000,0.000,0.000, 
