Inverter All History Report_09/06/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,09/06/2023 05:42:05 (UTC-4:00),Normal, ,119.6,0.1,12,119.8,0.1,12,117.2,0.1,12,11.0,0.1,0,220.1,2.6,20.000,60.010,0.000,249.000,6221.000,25697.000,21.0, ,0.00,0.000,0.000,0.000, 
2,09/06/2023 05:47:04 (UTC-4:00),Normal, ,293.3,0.1,29,293.0,0.1,29,293.7,0.1,29,18.2,0.1,0,219.7,2.6,20.000,60.010,0.000,249.000,6221.000,25697.000,21.6, ,0.00,0.000,0.000,0.000, 
3,09/06/2023 05:52:03 (UTC-4:00),Normal, ,300.1,0.1,30,299.5,0.1,30,300.2,0.1,30,10.9,0.1,0,220.0,2.6,20.000,60.030,0.000,249.000,6221.000,25697.000,22.0, ,0.00,0.000,0.000,0.000, 
4,09/06/2023 05:57:04 (UTC-4:00),Normal, ,310.0,0.1,31,310.2,0.1,31,310.1,0.1,31,15.1,0.1,0,220.1,2.6,20.000,60.050,0.000,249.000,6221.000,25697.000,22.5, ,0.00,0.000,0.000,0.000, 
5,09/06/2023 06:02:08 (UTC-4:00),Normal, ,319.7,0.1,32,320.8,0.1,32,320.6,0.1,32,14.1,0.1,0,220.0,2.6,20.000,60.060,0.000,249.000,6221.000,25697.000,22.9, ,0.00,0.000,0.000,0.000, 
6,09/06/2023 06:07:13 (UTC-4:00),Normal, ,320.3,0.1,32,321.1,0.1,32,321.3,0.1,32,10.6,0.1,0,219.5,2.6,40.000,60.010,0.000,249.000,6221.000,25697.000,23.3, ,0.00,0.000,0.000,0.000, 
7,09/06/2023 06:12:16 (UTC-4:00),Normal, ,320.4,0.1,32,326.5,0.1,33,327.6,0.1,33,11.4,0.1,0,218.9,2.6,70.000,60.020,0.000,249.000,6221.000,25697.000,23.7, ,0.00,0.000,0.000,0.000, 
8,09/06/2023 06:17:19 (UTC-4:00),Normal, ,320.3,0.2,64,328.9,0.1,33,330.1,0.1,33,15.1,0.1,0,219.1,2.6,90.000,60.000,0.000,249.000,6221.000,25697.000,24.1, ,0.00,0.000,0.000,0.000, 
9,09/06/2023 06:17:30 (UTC-4:00),Normal, ,320.3,0.2,64,328.9,0.1,33,330.1,0.1,33,15.1,0.1,0,219.1,2.6,90.000,60.000,0.000,249.000,6221.000,25697.000,24.1, ,0.00,0.000,0.000,0.000, 
10,09/06/2023 06:22:22 (UTC-4:00),Normal, ,318.3,0.2,64,332.6,0.1,33,332.0,0.2,66,13.0,0.1,0,219.1,2.8,210.000,60.030,0.000,249.000,6221.000,25697.000,24.5, ,0.00,0.000,0.000,0.000, 
11,09/06/2023 06:27:21 (UTC-4:00),Normal, ,308.6,0.4,123,334.1,0.1,33,384.2,0.3,115,15.8,0.1,0,218.7,2.9,300.000,59.980,0.000,249.000,6221.000,25697.000,24.7, ,0.00,0.000,0.000,0.000, 
12,09/06/2023 06:32:20 (UTC-4:00),Normal, ,311.9,0.5,156,333.9,0.1,33,364.2,0.5,182,12.5,0.1,0,219.0,3.1,410.000,60.050,0.000,249.000,6221.000,25697.000,25.2, ,0.00,0.000,0.000,0.000, 
