Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231228213933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
792,26/11/2023 12:12:20 (UTC-4:00),Normal, ,312.3,6.9,2155,305.5,7.0,2139,305.6,6.9,2109,9.0,0.1,0,222.4,0.0,0.0,27.6,0.0,0.0,6240.000,59.950,27.900,1220.000,12207.000,31683.000,60.6, ,0.00,0.000,0.000,0.000,0
793,26/11/2023 12:17:22 (UTC-4:00),Normal, ,314.2,4.7,1477,315.2,4.6,1450,311.2,4.5,1400,12.8,0.1,0,221.4,0.0,0.0,19.0,0.0,0.0,4260.000,59.970,28.300,1221.000,12207.000,31684.000,58.8, ,0.00,0.000,0.000,0.000,0
794,26/11/2023 12:22:26 (UTC-4:00),Normal, ,326.3,3.8,1240,327.3,3.7,1211,323.4,3.7,1197,13.7,0.1,0,221.2,0.0,0.0,16.3,0.0,0.0,3630.000,60.000,28.600,1221.000,12207.000,31684.000,55.7, ,0.00,0.000,0.000,0.000,0
795,26/11/2023 12:27:30 (UTC-4:00),Normal, ,327.9,4.3,1410,328.9,4.2,1381,328.9,4.1,1348,13.5,0.1,0,221.5,0.0,0.0,18.1,0.0,0.0,4070.000,60.010,28.900,1221.000,12208.000,31684.000,54.1, ,0.00,0.000,0.000,0.000,0
796,26/11/2023 12:32:33 (UTC-4:00),Normal, ,332.4,5.2,1728,329.4,5.2,1713,333.3,5.0,1667,15.1,0.1,0,222.2,0.0,0.0,22.2,0.0,0.0,5030.000,60.020,29.300,1222.000,12208.000,31685.000,53.6, ,0.00,0.000,0.000,0.000,0
797,26/11/2023 12:37:37 (UTC-4:00),Normal, ,324.1,6.7,2171,329.0,6.5,2139,329.0,6.4,2106,13.6,0.1,0,222.9,0.0,0.0,28.0,0.0,0.0,6310.000,59.980,29.800,1222.000,12208.000,31685.000,54.7, ,0.00,0.000,0.000,0.000,0
798,26/11/2023 12:42:40 (UTC-4:00),Normal, ,322.0,5.8,1868,327.0,5.7,1864,327.1,5.6,1832,15.2,0.1,0,222.1,0.0,0.0,24.1,0.0,0.0,5460.000,60.000,30.200,1223.000,12209.000,31686.000,55.9, ,0.00,0.000,0.000,0.000,0
799,26/11/2023 12:47:40 (UTC-4:00),Normal, ,329.9,4.4,1452,323.0,4.4,1421,327.0,4.3,1406,11.7,0.1,0,221.8,0.0,0.0,18.7,0.0,0.0,4210.000,59.970,30.600,1223.000,12209.000,31686.000,55.3, ,0.00,0.000,0.000,0.000,0
800,26/11/2023 12:52:40 (UTC-4:00),Normal, ,334.1,4.5,1503,331.2,4.4,1457,335.1,4.3,1441,12.5,0.1,0,222.0,0.0,0.0,19.3,0.0,0.0,4330.000,60.040,30.900,1223.000,12210.000,31686.000,53.6, ,0.00,0.000,0.000,0.000,0
801,26/11/2023 12:57:42 (UTC-4:00),Normal, ,335.6,5.4,1812,328.9,5.5,1809,336.7,5.3,1785,14.8,0.1,0,222.4,0.0,0.0,23.6,0.0,0.0,5340.000,59.990,31.300,1224.000,12210.000,31687.000,53.5, ,0.00,0.000,0.000,0.000,0
