Inverter All History Report_16/01/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,16/01/2023 04:28:49 (UTC-4:00),Normal, ,146.9,0.1,15,153.1,0.1,15,152.7,0.1,15,4.2,0.1,0,219.5,0.0,20.000,60.010,0.000,581.000,581.000,20058.000,25.2, ,0.00,0.000,0.000,0.000, 
2,16/01/2023 04:33:49 (UTC-4:00),Normal, ,277.0,0.1,28,276.7,0.1,28,277.2,0.1,28,17.1,0.1,0,219.5,2.6,20.000,60.040,0.000,581.000,581.000,20058.000,25.6, ,0.00,0.000,0.000,0.000, 
3,16/01/2023 04:38:49 (UTC-4:00),Normal, ,289.0,0.1,29,288.3,0.1,29,288.9,0.1,29,13.2,0.1,0,219.7,2.6,20.000,59.970,0.000,581.000,581.000,20058.000,26.1, ,0.00,0.000,0.000,0.000, 
4,16/01/2023 04:43:52 (UTC-4:00),Normal, ,374.8,0.1,37,374.1,0.1,37,374.3,0.1,37,16.9,0.1,0,219.3,2.7,20.000,60.010,0.000,581.000,581.000,20058.000,26.6, ,0.00,0.000,0.000,0.000, 
5,16/01/2023 04:48:56 (UTC-4:00),Normal, ,303.0,0.1,30,302.4,0.1,30,302.7,0.1,30,11.3,0.1,0,219.1,2.5,30.000,60.020,0.000,581.000,581.000,20058.000,27.1, ,0.00,0.000,0.000,0.000, 
6,16/01/2023 04:54:01 (UTC-4:00),Normal, ,303.2,0.2,61,311.6,0.1,31,311.7,0.1,31,16.5,0.1,0,219.4,2.6,100.000,60.020,0.000,581.000,581.000,20058.000,27.7, ,0.00,0.000,0.000,0.000, 
7,16/01/2023 04:59:06 (UTC-4:00),Normal, ,339.2,0.3,102,311.3,0.2,62,311.4,0.2,62,16.7,0.1,0,218.7,2.6,200.000,59.980,0.000,581.000,581.000,20058.000,28.1, ,0.00,0.000,0.000,0.000, 
8,16/01/2023 05:04:09 (UTC-4:00),Normal, ,337.2,0.3,101,329.4,0.3,99,323.4,0.3,97,12.3,0.1,0,218.9,2.8,270.000,59.970,0.100,581.000,581.000,20058.000,28.6, ,0.00,0.000,0.000,0.000, 
9,16/01/2023 05:09:14 (UTC-4:00),Normal, ,365.1,0.4,146,337.3,0.4,135,351.0,0.3,105,10.5,0.1,0,218.1,3.1,380.000,59.970,0.100,581.000,581.000,20058.000,29.1, ,0.00,0.000,0.000,0.000, 
10,16/01/2023 05:14:19 (UTC-4:00),Normal, ,363.0,0.4,145,351.2,0.4,140,353.2,0.4,141,15.6,0.1,0,221.1,3.1,410.000,60.000,0.100,581.000,581.000,20058.000,29.6, ,0.00,0.000,0.000,0.000, 
11,16/01/2023 05:19:23 (UTC-4:00),Normal, ,355.5,0.5,178,355.6,0.4,142,341.6,0.4,137,17.8,0.1,0,221.4,3.2,430.000,59.970,0.200,582.000,582.000,20058.000,30.1, ,0.00,0.000,0.000,0.000, 
12,16/01/2023 05:24:26 (UTC-4:00),Normal, ,371.1,0.7,260,343.4,0.7,240,349.4,0.7,245,11.0,0.1,0,221.5,4.0,680.000,59.990,0.200,582.000,582.000,20058.000,30.4, ,0.00,0.000,0.000,0.000, 
