Inverter All History Report_28/09/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,28/09/2022 05:10:40 (UTC-4:00),Normal, ,159.4,0.1,16,164.6,0.1,16,167.2,0.1,17,1.6,0.1,0,219.2,0.0,20.000,59.930,0.000,1023.000,10292.000,15053.000,21.3, ,0.00,0.000,0.000,0.000, 
2,28/09/2022 05:15:38 (UTC-4:00),Normal, ,291.0,0.1,29,290.6,0.1,29,291.0,0.1,29,16.1,0.1,0,219.0,2.6,20.000,59.910,0.000,1023.000,10292.000,15053.000,21.8, ,0.00,0.000,0.000,0.000, 
3,28/09/2022 05:21:15 (UTC-4:00),Normal, ,287.5,0.1,29,287.2,0.1,29,287.4,0.1,29,12.4,0.1,0,219.0,2.6,20.000,59.920,0.000,1023.000,10292.000,15053.000,22.3, ,0.00,0.000,0.000,0.000, 
4,28/09/2022 05:22:33 (UTC-4:00),Normal, ,287.5,0.1,29,287.2,0.1,29,287.4,0.1,29,12.4,0.1,0,219.0,2.6,20.000,59.920,0.000,1023.000,10292.000,15053.000,22.3, ,0.00,0.000,0.000,0.000, 
5,28/09/2022 05:25:40 (UTC-4:00),Normal, ,287.9,0.1,29,287.6,0.1,29,287.9,0.1,29,12.1,0.1,0,218.6,2.6,20.000,59.950,0.000,1023.000,10292.000,15053.000,22.8, ,0.00,0.000,0.000,0.000, 
6,28/09/2022 05:30:43 (UTC-4:00),Normal, ,314.3,0.1,31,313.7,0.1,31,313.9,0.1,31,11.6,0.1,0,218.8,2.6,20.000,59.990,0.000,1023.000,10292.000,15053.000,23.2, ,0.00,0.000,0.000,0.000, 
7,28/09/2022 05:35:46 (UTC-4:00),Normal, ,296.1,0.1,30,295.6,0.1,30,296.0,0.1,30,12.1,0.1,0,218.4,2.6,20.000,59.940,0.000,1023.000,10292.000,15053.000,23.5, ,0.00,0.000,0.000,0.000, 
8,28/09/2022 05:40:49 (UTC-4:00),Normal, ,309.7,0.1,31,309.1,0.1,31,308.9,0.1,31,16.1,0.1,0,219.1,2.6,30.000,59.970,0.000,1023.000,10292.000,15053.000,23.9, ,0.00,0.000,0.000,0.000, 
9,28/09/2022 05:45:52 (UTC-4:00),Normal, ,309.4,0.1,31,310.8,0.1,31,310.9,0.1,31,16.8,0.1,0,219.1,2.6,70.000,60.000,0.000,1023.000,10292.000,15053.000,24.3, ,0.00,0.000,0.000,0.000, 
10,28/09/2022 05:46:03 (UTC-4:00),Normal, ,309.4,0.1,31,310.8,0.1,31,310.9,0.1,31,16.8,0.1,0,219.1,2.6,70.000,60.000,0.000,1023.000,10292.000,15053.000,24.3, ,0.00,0.000,0.000,0.000, 
11,28/09/2022 05:50:54 (UTC-4:00),Normal, ,309.0,0.2,62,313.6,0.1,31,316.6,0.1,32,12.8,0.1,0,219.4,2.7,140.000,59.990,0.000,1023.000,10292.000,15053.000,24.6, ,0.00,0.000,0.000,0.000, 
12,28/09/2022 05:55:53 (UTC-4:00),Normal, ,347.2,0.2,69,313.7,0.1,31,316.6,0.1,32,13.4,0.1,0,219.6,2.6,150.000,60.050,0.100,1023.000,10292.000,15053.000,24.8, ,0.00,0.000,0.000,0.000, 
