YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M
2022,12,22,4,15.95,15.3,15.62,11.72,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.75,0.03,92.63,4.28,137.37,6.82,136.86
2022,12,22,5,16.02,15.35,15.69,11.78,17.73,14.8,0.38,0.13,88.11,5.98,6.05,0.74,0.0,0.02,95.62,0.02,92.7,4.2,138.01,6.59,137.55
2022,12,22,6,17.26,15.65,16.45,11.96,151.95,185.7,0.47,0.16,76.62,67.2,83.55,7.7,0.06,0.3,90.12,0.03,92.77,5.31,137.44,7.25,136.31
2022,12,22,7,19.13,15.49,17.31,11.84,330.51,424.55,0.52,0.15,63.48,151.73,194.88,19.18,0.35,1.75,79.31,0.04,92.82,6.69,130.03,8.63,128.57
2022,12,22,8,21.3,15.45,18.37,11.84,525.09,655.12,0.58,0.15,50.1,242.17,300.83,32.12,0.86,4.45,69.19,0.05,92.85,6.59,125.29,8.16,123.6
2022,12,22,9,23.39,15.51,19.45,11.9,653.84,849.95,0.58,0.15,36.58,304.08,388.9,41.83,1.41,7.52,61.19,0.02,92.85,6.08,123.0,7.37,120.72
2022,12,22,10,25.05,15.71,20.37,12.02,757.93,991.7,0.59,0.16,23.01,354.73,452.75,49.96,1.91,10.02,56.06,0.03,92.81,5.65,123.95,6.73,121.12
2022,12,22,11,26.23,15.89,21.06,12.21,816.57,1068.33,0.59,0.16,9.78,392.02,486.95,55.28,2.24,12.62,52.88,0.03,92.75,5.38,127.5,6.31,124.04
2022,12,22,12,27.02,15.94,21.48,12.21,819.55,1089.23,0.59,0.17,6.4,393.12,498.3,56.2,2.31,13.08,50.62,0.03,92.68,5.34,133.28,6.17,129.86
2022,12,22,13,27.24,15.85,21.55,12.15,703.51,1026.05,0.53,0.16,19.13,326.75,469.95,47.12,1.86,10.12,49.75,0.04,92.63,5.84,138.36,6.73,135.94
2022,12,22,14,26.48,15.83,21.15,12.15,710.87,897.05,0.6,0.16,32.67,332.65,411.95,45.96,1.62,8.48,51.94,0.04,92.61,6.84,141.12,8.09,139.74
2022,12,22,15,24.86,15.9,20.38,12.21,526.26,712.45,0.54,0.15,46.23,246.45,328.2,33.28,0.97,5.15,57.44,0.03,92.63,7.91,142.02,9.64,141.19
2022,12,22,16,23.05,15.7,19.37,12.02,343.07,488.92,0.48,0.15,59.66,158.02,225.5,20.52,0.43,2.12,63.19,0.03,92.67,8.48,140.65,10.58,140.12
2022,12,22,17,21.4,15.38,18.39,11.78,178.77,251.77,0.43,0.16,72.88,80.02,115.3,9.35,0.1,0.5,68.5,0.02,92.72,8.27,137.3,10.59,137.0
2022,12,22,18,19.63,15.42,17.53,11.84,41.94,43.12,0.39,0.16,85.59,16.2,18.35,1.86,0.01,0.02,76.56,0.01,92.78,7.24,134.13,9.53,133.84
2022,12,22,19,18.15,15.7,16.93,12.02,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,85.5,0.01,92.83,6.06,135.16,8.27,134.5
2022,12,22,20,17.34,15.76,16.55,12.08,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,90.31,0.01,92.89,5.8,136.04,7.94,135.0
2022,12,22,21,16.93,15.67,16.3,11.96,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.12,0.01,92.93,5.7,135.0,7.84,133.83
2022,12,22,22,16.84,15.54,16.19,11.9,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.81,0.01,92.95,5.75,132.91,7.81,131.63
2022,12,22,23,16.79,15.38,16.08,11.78,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.25,0.01,92.91,5.74,131.02,7.79,129.39
2022,12,23,0,16.65,15.22,15.94,11.66,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.12,0.01,92.84,5.49,129.74,7.51,128.32
2022,12,23,1,16.49,15.08,15.79,11.54,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.25,0.01,92.76,5.16,128.55,7.12,127.06
2022,12,23,2,16.37,14.98,15.67,11.47,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.31,0.01,92.71,4.82,125.57,6.69,124.34
2022,12,23,3,16.28,14.88,15.58,11.41,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.25,0.0,92.71,4.49,120.9,6.32,119.89
2022,12,23,4,16.18,14.8,15.49,11.35,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,91.44,0.0,92.77,4.22,115.57,6.08,114.43
2022,12,23,5,16.15,14.73,15.44,11.29,17.33,14.15,0.38,0.13,88.16,5.85,5.88,0.72,0.0,0.02,91.19,0.0,92.84,3.96,112.12,5.74,110.8
2022,12,23,6,16.79,14.57,15.68,11.17,185.38,184.17,0.57,0.16,76.73,81.8,83.55,8.67,0.06,0.3,86.56,0.0,92.9,4.25,104.16,5.61,101.33
2022,12,23,7,18.26,14.23,16.25,10.93,422.11,423.05,0.67,0.16,63.6,193.12,195.42,22.86,0.38,1.88,77.19,0.0,92.95,4.2,90.75,5.22,88.11
