Inverter All History Report_04/02/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,04/02/2023 04:54:56 (UTC-4:00),Normal, ,98.4,0.1,10,102.6,0.1,10,98.8,0.1,10,1.7,0.1,0,220.9,0.0,20.000,60.010,0.000,125.000,1492.000,20874.000,26.1, ,0.00,0.000,0.000,0.000, 
2,04/02/2023 04:59:58 (UTC-4:00),Normal, ,273.9,0.1,27,273.0,0.1,27,273.9,0.1,27,12.2,0.1,0,221.3,2.6,20.000,59.990,0.000,125.000,1492.000,20874.000,26.6, ,0.00,0.000,0.000,0.000, 
3,04/02/2023 05:04:59 (UTC-4:00),Normal, ,287.3,0.1,29,272.9,0.1,27,287.2,0.1,29,10.8,0.1,0,221.1,2.6,20.000,59.970,0.000,125.000,1492.000,20874.000,27.2, ,0.00,0.000,0.000,0.000, 
4,04/02/2023 05:10:05 (UTC-4:00),Normal, ,305.6,0.1,31,273.0,0.1,27,305.4,0.1,31,17.2,0.1,0,221.0,2.6,20.000,60.000,0.000,125.000,1492.000,20874.000,27.8, ,0.00,0.000,0.000,0.000, 
5,04/02/2023 05:15:11 (UTC-4:00),Normal, ,301.5,0.1,30,272.9,0.1,27,301.4,0.1,30,12.4,0.1,0,221.3,2.6,30.000,60.010,0.000,125.000,1492.000,20874.000,28.3, ,0.00,0.000,0.000,0.000, 
