Inverter All History Report_27/08/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,27/08/2022 05:20:38 (UTC-4:00),Normal, ,106.7,0.1,11,109.8,0.1,11,106.5,0.1,11,4.4,0.1,0,220.2,0.0,20.000,60.030,0.000,861.000,9083.000,13810.000,23.0, ,0.00,0.000,0.000,0.000, 
2,27/08/2022 05:25:37 (UTC-4:00),Normal, ,287.3,0.1,29,285.6,0.1,29,287.4,0.1,29,15.0,0.1,0,219.9,2.6,20.000,60.000,0.000,861.000,9083.000,13810.000,23.4, ,0.00,0.000,0.000,0.000, 
3,27/08/2022 05:30:37 (UTC-4:00),Normal, ,303.0,0.1,30,285.7,0.1,29,302.9,0.1,30,16.8,0.1,0,220.1,2.6,20.000,59.980,0.000,861.000,9083.000,13810.000,23.9, ,0.00,0.000,0.000,0.000, 
4,27/08/2022 05:35:40 (UTC-4:00),Normal, ,309.3,0.1,31,285.7,0.1,29,308.9,0.1,31,17.7,0.1,0,221.2,2.5,20.000,60.010,0.000,861.000,9083.000,13810.000,24.5, ,0.00,0.000,0.000,0.000, 
5,27/08/2022 05:40:44 (UTC-4:00),Normal, ,318.0,0.1,32,285.5,0.1,29,317.8,0.1,32,11.1,0.1,0,221.0,2.6,60.000,59.960,0.000,861.000,9083.000,13810.000,25.0, ,0.00,0.000,0.000,0.000, 
