Inverter All History Report_01/03/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,01/03/2023 05:04:38 (UTC-4:00),Normal, ,268.1,0.1,27,269.3,0.1,27,266.2,0.1,27,16.4,0.1,0,219.6,2.6,20.000,59.940,0.000,0.000,2533.000,21915.000,26.0, ,0.00,0.000,0.000,0.000, 
2,01/03/2023 05:09:40 (UTC-4:00),Normal, ,285.2,0.1,29,277.7,0.1,28,285.3,0.1,29,15.4,0.1,0,219.3,2.6,20.000,59.920,0.000,0.000,2533.000,21915.000,26.6, ,0.00,0.000,0.000,0.000, 
3,01/03/2023 05:14:41 (UTC-4:00),Normal, ,366.9,0.1,37,277.5,0.1,28,366.6,0.1,37,13.2,0.1,0,218.9,2.6,20.000,59.960,0.000,0.000,2533.000,21915.000,27.0, ,0.00,0.000,0.000,0.000, 
4,01/03/2023 05:19:44 (UTC-4:00),Normal, ,304.8,0.1,30,277.7,0.2,56,304.5,0.1,30,15.3,0.1,0,219.2,2.5,60.000,59.990,0.000,0.000,2533.000,21915.000,27.7, ,0.00,0.000,0.000,0.000, 
5,01/03/2023 05:24:46 (UTC-4:00),Normal, ,305.0,0.2,61,325.8,0.2,65,311.8,0.1,31,16.7,0.1,0,219.4,2.6,140.000,60.000,0.100,0.000,2533.000,21916.000,28.1, ,0.00,0.000,0.000,0.000, 
