Inverter All History Report_11/07/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,11/07/2023 05:47:33 (UTC-4:00),Normal, ,116.3,0.1,12,117.7,0.1,12,114.5,0.1,11,1.8,0.1,0,220.5,0.0,20.000,60.010,0.000,278.000,7093.000,26476.000,21.6, ,0.00,0.000,0.000,0.000, 
2,11/07/2023 05:52:33 (UTC-4:00),Normal, ,309.8,0.1,31,280.3,0.1,28,309.9,0.1,31,15.8,0.1,0,221.0,2.6,20.000,60.050,0.000,278.000,7093.000,26476.000,22.0, ,0.00,0.000,0.000,0.000, 
3,11/07/2023 05:57:34 (UTC-4:00),Normal, ,293.8,0.1,29,280.2,0.1,28,293.5,0.1,29,14.4,0.1,0,221.6,2.6,20.000,60.030,0.000,278.000,7093.000,26476.000,22.5, ,0.00,0.000,0.000,0.000, 
4,11/07/2023 06:02:38 (UTC-4:00),Normal, ,305.7,0.1,31,280.3,0.1,28,305.5,0.1,31,13.3,0.1,0,221.2,2.6,20.000,59.970,0.000,278.000,7093.000,26476.000,23.0, ,0.00,0.000,0.000,0.000, 
5,11/07/2023 06:07:41 (UTC-4:00),Normal, ,309.3,0.1,31,280.2,0.1,28,309.1,0.1,31,10.3,0.1,0,221.1,2.6,30.000,59.960,0.000,278.000,7093.000,26476.000,23.4, ,0.00,0.000,0.000,0.000, 
