Inverter All History Report_21/12/2021_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,21/12/2021 04:18:28 (UTC-4:00),Normal, ,103.8,0.1,10,106.1,0.1,11,102.6,0.1,10,2.8,0.1,0,218.9,0.0,20.000,60.040,0.000,1042.000,4191.000,4191.000,27.0, ,0.00,0.000,0.000,0.000, 
2,21/12/2021 04:23:30 (UTC-4:00),Normal, ,279.4,0.1,28,278.5,0.1,28,279.5,0.1,28,15.8,0.1,0,218.3,2.6,20.000,60.000,0.000,1042.000,4191.000,4191.000,27.2, ,0.00,0.000,0.000,0.000, 
3,21/12/2021 04:28:31 (UTC-4:00),Normal, ,285.1,0.1,29,278.5,0.1,28,285.2,0.1,29,18.2,0.1,0,218.6,2.6,20.000,59.990,0.000,1042.000,4191.000,4191.000,27.9, ,0.00,0.000,0.000,0.000, 
4,21/12/2021 04:33:35 (UTC-4:00),Normal, ,296.2,0.1,30,278.5,0.1,28,295.9,0.1,30,12.6,0.1,0,218.2,2.6,20.000,60.000,0.000,1042.000,4191.000,4191.000,28.5, ,0.00,0.000,0.000,0.000, 
5,21/12/2021 04:38:40 (UTC-4:00),Normal, ,385.2,0.1,39,278.5,0.1,28,384.5,0.1,38,17.1,0.1,0,218.6,2.6,20.000,60.000,0.100,1042.000,4191.000,4191.000,29.0, ,0.00,0.000,0.000,0.000, 
