Inverter All History Report_17/10/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,17/10/2022 04:34:52 (UTC-4:00),Normal, ,108.9,0.1,11,108.9,0.1,11,109.0,0.1,11,10.5,0.1,0,219.3,2.5,20.000,60.010,0.000,690.000,11021.000,15747.000,25.2, ,0.00,0.000,0.000,0.000, 
2,17/10/2022 04:34:55 (UTC-4:00),Normal, ,108.9,0.1,11,108.9,0.1,11,109.0,0.1,11,10.5,0.1,0,219.3,2.5,20.000,60.010,0.000,690.000,11021.000,15747.000,25.2, ,0.00,0.000,0.000,0.000, 
3,17/10/2022 04:39:16 (UTC-4:00),Normal, ,285.8,0.1,29,276.2,0.1,28,285.9,0.1,29,10.4,0.1,0,219.3,2.6,20.000,59.970,0.000,690.000,11021.000,15747.000,25.6, ,0.00,0.000,0.000,0.000, 
4,17/10/2022 04:44:17 (UTC-4:00),Normal, ,291.3,0.1,29,276.2,0.1,28,291.4,0.1,29,17.0,0.1,0,219.3,2.6,20.000,60.000,0.000,690.000,11021.000,15747.000,26.2, ,0.00,0.000,0.000,0.000, 
5,17/10/2022 04:49:20 (UTC-4:00),Normal, ,306.6,0.1,31,276.2,0.1,28,306.6,0.1,31,16.6,0.1,0,219.3,2.6,30.000,60.030,0.000,690.000,11021.000,15747.000,26.6, ,0.00,0.000,0.000,0.000, 
