Inverter All History Report_14/06/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,14/06/2023 06:16:20 (UTC-4:00),Normal, ,141.8,0.1,14,145.1,0.1,15,142.0,0.1,14,1.7,0.1,0,217.9,0.0,20.000,59.980,0.000,383.000,6335.000,25718.000,21.5, ,0.00,0.000,0.000,0.000, 
2,14/06/2023 06:21:12 (UTC-4:00),Normal, ,281.6,0.1,28,276.3,0.1,28,281.5,0.1,28,11.7,0.1,0,216.9,2.6,20.000,59.990,0.000,383.000,6335.000,25718.000,22.0, ,0.00,0.000,0.000,0.000, 
3,14/06/2023 06:21:22 (UTC-4:00),Normal, ,281.6,0.1,28,276.3,0.1,28,281.5,0.1,28,11.7,0.1,0,216.9,2.6,20.000,59.990,0.000,383.000,6335.000,25718.000,22.0, ,0.00,0.000,0.000,0.000, 
4,14/06/2023 06:21:24 (UTC-4:00),Normal, ,281.6,0.1,28,276.3,0.1,28,281.5,0.1,28,11.7,0.1,0,216.9,2.6,20.000,59.990,0.000,383.000,6335.000,25718.000,22.0, ,0.00,0.000,0.000,0.000, 
5,14/06/2023 06:22:40 (UTC-4:00),Normal, ,281.2,0.1,28,276.5,0.1,28,281.0,0.1,28,17.6,0.1,0,217.1,2.6,20.000,60.040,0.000,383.000,6335.000,25718.000,22.2, ,0.00,0.000,0.000,0.000, 
