Inverter All History Report_05/11/2021_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,05/11/2021 04:29:43 (UTC-4:00),Normal, ,294.0,0.1,29,276.8,0.1,28,294.0,0.1,29,18.6,0.1,0,218.4,2.6,20.000,60.050,0.000,215.000,1791.000,1791.000,27.2, ,0.00,0.000,0.000,0.000, 
2,05/11/2021 04:34:47 (UTC-4:00),Normal, ,300.5,0.1,30,276.8,0.1,28,300.5,0.1,30,17.3,0.1,0,218.9,2.5,20.000,60.020,0.000,215.000,1791.000,1791.000,27.7, ,0.00,0.000,0.000,0.000, 
3,05/11/2021 04:39:52 (UTC-4:00),Normal, ,318.5,0.1,32,276.7,0.2,55,318.3,0.1,32,11.1,0.1,0,218.3,2.6,60.000,59.970,0.000,215.000,1791.000,1791.000,28.2, ,0.00,0.000,0.000,0.000, 
4,05/11/2021 04:55:43 (UTC-4:00),Normal, ,356.0,0.4,142,350.9,0.5,175,359.3,0.4,144,16.4,0.1,0,218.4,3.1,370.000,59.980,0.100,215.000,1791.000,1791.000,29.7, ,0.00,0.000,0.000,0.000, 
5,05/11/2021 05:00:14 (UTC-4:00),Normal, ,357.4,0.4,143,372.8,0.5,186,356.9,0.4,143,16.0,0.1,0,218.9,3.4,490.000,59.990,0.100,215.000,1791.000,1791.000,30.2, ,0.00,0.000,0.000,0.000, 
