Inverter All History Report_06/08/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,06/08/2023 05:38:19 (UTC-4:00),Normal, ,132.4,0.1,13,130.9,0.1,13,124.6,0.1,12,10.8,0.1,0,220.8,2.6,20.000,59.930,0.000,166.000,7879.000,27262.000,23.1, ,0.00,0.000,0.000,0.000, 
2,06/08/2023 05:43:20 (UTC-4:00),Normal, ,293.7,0.1,29,283.7,0.1,28,293.3,0.1,29,13.2,0.1,0,221.5,2.6,20.000,59.940,0.000,166.000,7879.000,27262.000,23.7, ,0.00,0.000,0.000,0.000, 
3,06/08/2023 05:48:21 (UTC-4:00),Normal, ,384.3,0.1,38,283.7,0.1,28,383.5,0.1,38,15.7,0.1,0,221.9,2.6,20.000,59.930,0.000,166.000,7879.000,27262.000,24.3, ,0.00,0.000,0.000,0.000, 
4,06/08/2023 05:53:24 (UTC-4:00),Normal, ,312.4,0.1,31,283.6,0.1,28,312.0,0.1,31,11.8,0.1,0,221.9,2.6,20.000,59.940,0.000,166.000,7879.000,27262.000,24.7, ,0.00,0.000,0.000,0.000, 
5,06/08/2023 05:58:29 (UTC-4:00),Normal, ,320.9,0.1,32,283.8,0.2,57,320.0,0.1,32,15.2,0.1,0,222.3,2.5,60.000,59.990,0.000,166.000,7879.000,27262.000,25.2, ,0.00,0.000,0.000,0.000, 
