Inverter All History Report_04/12/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,04/12/2022 04:21:46 (UTC-4:00),Normal, ,143.0,0.1,14,142.7,0.1,14,143.9,0.1,14,15.5,0.1,0,221.3,2.6,20.000,60.020,0.000,137.000,13410.000,18137.000,26.3, ,0.00,0.000,0.000,0.000, 
2,04/12/2022 04:26:49 (UTC-4:00),Normal, ,279.3,0.1,28,271.9,0.1,27,279.2,0.1,28,17.7,0.1,0,221.3,2.5,20.000,60.020,0.000,137.000,13410.000,18137.000,27.0, ,0.00,0.000,0.000,0.000, 
3,04/12/2022 04:31:51 (UTC-4:00),Normal, ,285.0,0.1,29,272.0,0.1,27,284.9,0.1,28,14.9,0.1,0,221.4,2.6,20.000,60.020,0.000,137.000,13410.000,18137.000,27.5, ,0.00,0.000,0.000,0.000, 
4,04/12/2022 04:36:55 (UTC-4:00),Normal, ,295.1,0.1,30,271.9,0.1,27,294.8,0.1,29,17.7,0.1,0,220.9,2.5,20.000,59.980,0.000,137.000,13410.000,18137.000,28.0, ,0.00,0.000,0.000,0.000, 
5,04/12/2022 04:41:55 (UTC-4:00),Normal, ,371.0,0.1,37,271.7,0.1,27,371.4,0.1,37,10.6,0.1,0,221.6,2.6,20.000,59.990,0.000,137.000,13410.000,18137.000,28.5, ,0.00,0.000,0.000,0.000, 
