Inverter All History Report_30/10/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,30/10/2022 04:25:37 (UTC-4:00),Normal, ,94.9,0.1,9,99.4,0.1,10,95.2,0.1,10,18.2,0.1,0,221.0,2.6,20.000,60.040,0.100,1296.000,11627.000,16354.000,25.9, ,0.00,0.000,0.000,0.000, 
2,30/10/2022 04:30:39 (UTC-4:00),Normal, ,286.8,0.1,29,274.8,0.1,27,286.7,0.1,29,13.7,0.1,0,222.4,2.6,20.000,60.060,0.100,1296.000,11627.000,16354.000,26.6, ,0.00,0.000,0.000,0.000, 
3,30/10/2022 04:35:41 (UTC-4:00),Normal, ,374.5,0.1,37,274.9,0.1,27,374.4,0.1,37,17.7,0.1,0,219.9,2.6,20.000,59.910,0.100,1296.000,11627.000,16354.000,27.1, ,0.00,0.000,0.000,0.000, 
4,30/10/2022 04:40:58 (UTC-4:00),Normal, ,304.3,0.1,30,274.8,0.1,27,304.1,0.1,30,12.0,0.1,0,219.9,2.5,30.000,59.930,0.100,1296.000,11627.000,16354.000,27.7, ,0.00,0.000,0.000,0.000, 
5,30/10/2022 04:41:08 (UTC-4:00),Normal, ,304.3,0.1,30,274.8,0.1,27,304.1,0.1,30,12.0,0.1,0,219.9,2.5,30.000,59.930,0.100,1296.000,11627.000,16354.000,27.7, ,0.00,0.000,0.000,0.000, 
