Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231226215610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,30/11/2023 04:08:46 (UTC-4:00),Normal, ,158.9,0.1,16,153.2,0.1,15,154.0,0.1,15,0.3,0.1,0,221.9,0.0,0.0,0.7,0.0,0.0,20.000,59.990,0.000,1335.000,12305.000,31688.000,25.2, ,0.00,0.000,0.000,0.000,0
2,30/11/2023 04:13:48 (UTC-4:00),Normal, ,280.6,0.1,28,273.9,0.1,27,280.2,0.1,28,10.2,0.1,0,221.9,0.0,0.0,2.6,0.0,0.0,20.000,60.010,0.000,1335.000,12305.000,31688.000,25.8, ,0.00,0.000,0.000,0.000,0
3,30/11/2023 04:18:50 (UTC-4:00),Normal, ,285.2,0.1,29,273.9,0.1,27,284.8,0.1,28,12.5,0.1,0,222.0,0.0,0.0,2.6,0.0,0.0,20.000,60.030,0.000,1335.000,12305.000,31688.000,26.4, ,0.00,0.000,0.000,0.000,0
