Inverter All History Report_24/11/2021_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,24/11/2021 04:04:43 (UTC-4:00),Normal, ,344.9,0.1,34,345.0,0.1,35,346.5,0.1,35,0.9,0.1,0,218.4,0.0,20.000,59.970,0.000,1215.000,2792.000,2792.000,26.6, ,0.00,0.000,0.000,0.000, 
2,24/11/2021 04:09:44 (UTC-4:00),Normal, ,283.8,0.1,28,282.4,0.1,28,283.9,0.1,28,16.2,0.1,0,218.4,2.6,20.000,59.960,0.000,1215.000,2792.000,2792.000,27.2, ,0.00,0.000,0.000,0.000, 
3,24/11/2021 04:14:46 (UTC-4:00),Normal, ,285.6,0.1,29,282.4,0.1,28,285.8,0.1,29,17.0,0.1,0,217.4,2.6,20.000,59.940,0.000,1215.000,2792.000,2792.000,27.8, ,0.00,0.000,0.000,0.000, 
4,24/11/2021 04:19:51 (UTC-4:00),Normal, ,296.3,0.1,30,282.4,0.1,28,296.1,0.1,30,14.4,0.1,0,218.6,2.5,20.000,59.960,0.000,1215.000,2792.000,2792.000,28.3, ,0.00,0.000,0.000,0.000, 
5,24/11/2021 04:24:57 (UTC-4:00),Normal, ,311.7,0.1,31,282.5,0.1,28,311.4,0.1,31,18.1,0.1,0,218.1,2.6,40.000,59.960,0.000,1215.000,2792.000,2792.000,28.8, ,0.00,0.000,0.000,0.000, 
