Inverter All History Report_29/01/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,29/01/2022 04:55:06 (UTC-4:00),Normal, ,121.8,0.1,12,125.4,0.1,13,122.9,0.1,12,12.3,0.1,0,218.9,2.6,20.000,60.030,0.000,1328.000,1328.000,6055.000,28.1, ,0.00,0.000,0.000,0.000, 
2,29/01/2022 05:00:08 (UTC-4:00),Normal, ,284.2,0.1,28,275.3,0.1,28,284.1,0.1,28,18.3,0.1,0,219.4,2.6,20.000,60.060,0.000,1328.000,1328.000,6055.000,28.7, ,0.00,0.000,0.000,0.000, 
3,29/01/2022 05:05:11 (UTC-4:00),Normal, ,369.5,0.1,37,275.3,0.1,28,369.0,0.1,37,14.4,0.1,0,220.0,2.6,20.000,60.060,0.000,1328.000,1328.000,6055.000,29.4, ,0.00,0.000,0.000,0.000, 
4,29/01/2022 05:10:16 (UTC-4:00),Normal, ,301.1,0.1,30,275.2,0.1,28,300.7,0.1,30,15.6,0.1,0,220.0,2.6,20.000,60.070,0.000,1328.000,1328.000,6055.000,30.0, ,0.00,0.000,0.000,0.000, 
5,29/01/2022 05:15:22 (UTC-4:00),Normal, ,307.7,0.1,31,275.1,0.2,55,307.4,0.1,31,10.7,0.1,0,219.5,2.6,60.000,60.040,0.000,1328.000,1328.000,6055.000,30.3, ,0.00,0.000,0.000,0.000, 
