Inverter All History Report_23/09/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020042,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4046045654,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,23/09/2022 04:57:55 (UTC-4:00),Normal, ,123.1,0.1,12,129.6,0.1,13,125.0,0.1,13,0.0,0.1,0,221.6,0.0,20.000,60.020,0.000,808.000,10052.000,14779.000,21.6, ,0.00,0.000,0.000,0.000, 
2,23/09/2022 05:03:04 (UTC-4:00),Normal, ,290.9,0.1,29,280.8,0.1,28,291.1,0.1,29,17.8,0.1,0,221.3,2.6,20.000,59.990,0.000,808.000,10052.000,14779.000,22.0, ,0.00,0.000,0.000,0.000, 
3,23/09/2022 05:07:55 (UTC-4:00),Normal, ,297.0,0.1,30,280.7,0.1,28,297.1,0.1,30,11.6,0.1,0,220.5,2.5,20.000,59.940,0.000,808.000,10052.000,14779.000,22.5, ,0.00,0.000,0.000,0.000, 
4,23/09/2022 05:12:59 (UTC-4:00),Normal, ,306.1,0.1,31,280.7,0.1,28,305.9,0.1,31,12.2,0.1,0,220.8,2.6,20.000,59.950,0.000,808.000,10052.000,14779.000,22.8, ,0.00,0.000,0.000,0.000, 
5,23/09/2022 05:18:41 (UTC-4:00),Normal, ,308.8,0.1,31,280.9,0.1,28,308.9,0.1,31,17.3,0.1,0,220.9,2.6,20.000,59.990,0.000,808.000,10052.000,14779.000,23.1, ,0.00,0.000,0.000,0.000, 
