,time,id,dc_in_w,ac_out_w,daily_kwh,total_kwh,inverter_celsius,date,year,month,week_of_year,day_of_week,day,hour,minute,temp_ins,umi_ins,pto_orva,pre_ins,vel_vento,rad,chuva,hour,date
22,2022-11-08 06:01:00,054B7020C020044,2943,2940,1.9,16843.0,33.8,2022-11-08,2022,11,45,2,8,6,1,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
23,2022-11-08 06:06:00,054B7020C020044,3207,3150,2.1,16844.0,34.8,2022-11-08,2022,11,45,2,8,6,6,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
24,2022-11-08 06:11:00,054B7020C020044,3385,3360,2.4,16844.0,35.8,2022-11-08,2022,11,45,2,8,6,11,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
25,2022-11-08 06:16:00,054B7020C020044,3601,3550,2.7,16844.0,37.0,2022-11-08,2022,11,45,2,8,6,16,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
26,2022-11-08 06:21:00,054B7020C020044,3824,3760,3.0,16844.0,38.1,2022-11-08,2022,11,45,2,8,6,21,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
27,2022-11-08 06:26:00,054B7020C020044,4023,3940,3.3,16845.0,39.2,2022-11-08,2022,11,45,2,8,6,26,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
28,2022-11-08 06:27:00,054B7020C020044,4023,3940,3.3,16845.0,39.2,2022-11-08,2022,11,45,2,8,6,27,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
29,2022-11-08 06:31:00,054B7020C020044,4234,4140,3.6,16845.0,40.3,2022-11-08,2022,11,45,2,8,6,31,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
30,2022-11-08 06:36:00,054B7020C020044,4426,4330,4.0,16845.0,41.1,2022-11-08,2022,11,45,2,8,6,36,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
31,2022-11-08 06:41:00,054B7020C020044,4615,4510,4.4,16846.0,42.1,2022-11-08,2022,11,45,2,8,6,41,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
32,2022-11-08 06:46:00,054B7020C020044,4804,4690,4.8,16846.0,43.0,2022-11-08,2022,11,45,2,8,6,46,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
33,2022-11-08 06:51:00,054B7020C020044,4939,4850,5.2,16847.0,43.9,2022-11-08,2022,11,45,2,8,6,51,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
34,2022-11-08 06:56:00,054B7020C020044,5071,5030,5.6,16847.0,44.9,2022-11-08,2022,11,45,2,8,6,56,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
35,2022-11-08 06:57:00,054B7020C020044,5109,5040,5.6,16847.0,45.0,2022-11-08,2022,11,45,2,8,6,57,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
36,2022-11-08 07:02:00,054B7020C020044,5299,5210,6.1,16848.0,45.9,2022-11-08,2022,11,45,2,8,7,2,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
37,2022-11-08 07:07:00,054B7020C020044,5457,5380,6.5,16848.0,46.7,2022-11-08,2022,11,45,2,8,7,7,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
38,2022-11-08 07:12:00,054B7020C020044,5589,5500,7.0,16848.0,47.8,2022-11-08,2022,11,45,2,8,7,12,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
39,2022-11-08 07:17:00,054B7020C020044,5715,5620,7.4,16849.0,48.8,2022-11-08,2022,11,45,2,8,7,17,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
40,2022-11-08 07:22:00,054B7020C020044,5855,5740,7.9,16849.0,49.7,2022-11-08,2022,11,45,2,8,7,22,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
41,2022-11-08 07:23:00,054B7020C020044,5855,5740,7.9,16849.0,49.7,2022-11-08,2022,11,45,2,8,7,23,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
42,2022-11-08 07:27:00,054B7020C020044,6050,5930,8.4,16850.0,50.6,2022-11-08,2022,11,45,2,8,7,27,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
43,2022-11-08 07:32:00,054B7020C020044,6129,6020,8.9,16850.0,51.5,2022-11-08,2022,11,45,2,8,7,32,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
44,2022-11-08 07:37:00,054B7020C020044,6302,6170,9.4,16851.0,52.1,2022-11-08,2022,11,45,2,8,7,37,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
45,2022-11-08 07:42:00,054B7020C020044,6420,6300,10.0,16851.0,53.0,2022-11-08,2022,11,45,2,8,7,42,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
46,2022-11-08 07:47:00,054B7020C020044,6548,6430,10.5,16852.0,53.8,2022-11-08,2022,11,45,2,8,7,47,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
47,2022-11-08 07:48:00,054B7020C020044,6548,6430,10.5,16852.0,53.8,2022-11-08,2022,11,45,2,8,7,48,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
