Inverter All History Report_28/09/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020041,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045966636,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,28/09/2022 05:11:20 (UTC-4:00),Normal, ,323.1,0.1,32,305.9,0.1,31,305.9,0.1,31,11.3,0.1,0,219.7,1.5,20.000,59.940,0.000,944.000,9506.000,13884.000,22.5, ,0.00,0.000,0.000,0.000, 
2,28/09/2022 05:16:25 (UTC-4:00),Normal, ,288.8,0.1,29,260.1,0.1,26,259.8,0.1,26,17.4,0.1,0,219.5,2.6,20.000,59.900,0.000,944.000,9506.000,13884.000,23.1, ,0.00,0.000,0.000,0.000, 
3,28/09/2022 05:21:26 (UTC-4:00),Normal, ,285.2,0.1,29,257.0,0.1,26,256.6,0.1,26,11.4,0.1,0,220.0,2.6,20.000,59.940,0.000,944.000,9506.000,13884.000,23.5, ,0.00,0.000,0.000,0.000, 
