Inverter All History Report_11/06/2022_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020041,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045966636,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
89,11/06/2022 15:49:21 (UTC-4:00),Normal, ,355.7,0.5,178,333.3,0.6,200,320.3,0.7,224,13.5,0.1,0,221.0,3.6,580.000,60.010,22.400,255.000,6095.000,10473.000,31.7, ,0.00,0.000,0.000,0.000, 
90,11/06/2022 15:54:21 (UTC-4:00),Normal, ,360.1,0.4,144,329.4,0.5,165,316.5,0.6,190,14.4,0.1,0,220.6,3.2,450.000,60.000,22.500,255.000,6095.000,10473.000,31.4, ,0.00,0.000,0.000,0.000, 
91,11/06/2022 15:59:23 (UTC-4:00),Normal, ,335.8,0.3,101,305.2,0.3,92,304.4,0.2,61,15.1,0.1,0,220.7,2.7,240.000,60.020,22.500,255.000,6095.000,10473.000,31.1, ,0.00,0.000,0.000,0.000, 
92,11/06/2022 16:04:23 (UTC-4:00),Normal, ,339.5,0.2,68,305.2,0.2,61,296.3,0.1,30,14.9,0.1,0,220.4,2.7,140.000,60.000,22.500,255.000,6095.000,10473.000,30.8, ,0.00,0.000,0.000,0.000, 
93,11/06/2022 16:09:24 (UTC-4:00),Normal, ,313.0,0.1,31,293.2,0.2,59,280.0,0.1,28,10.5,0.1,0,220.3,2.6,60.000,60.010,22.500,255.000,6095.000,10473.000,30.5, ,0.00,0.000,0.000,0.000, 
94,11/06/2022 16:14:24 (UTC-4:00),Normal, ,310.1,0.1,31,279.9,0.1,28,278.9,0.1,28,14.1,0.1,0,220.0,2.5,30.000,59.980,22.500,255.000,6095.000,10473.000,30.2, ,0.00,0.000,0.000,0.000, 
95,11/06/2022 16:19:28 (UTC-4:00),Normal, ,303.8,0.1,30,279.9,0.1,28,273.1,0.1,27,16.7,0.1,0,219.6,2.6,20.000,59.950,22.500,255.000,6095.000,10473.000,30.0, ,0.00,0.000,0.000,0.000, 
96,11/06/2022 16:24:32 (UTC-4:00),Normal, ,298.4,0.1,30,280.0,0.1,28,268.4,0.1,27,14.7,0.1,0,219.2,2.6,20.000,59.970,22.500,255.000,6095.000,10473.000,29.6, ,0.00,0.000,0.000,0.000, 
97,11/06/2022 16:29:36 (UTC-4:00),Normal, ,282.7,0.1,28,279.9,0.1,28,254.0,0.1,25,16.5,0.1,0,221.9,2.6,20.000,59.960,22.500,255.000,6095.000,10473.000,29.4, ,0.00,0.000,0.000,0.000, 
98,11/06/2022 16:34:40 (UTC-4:00),Normal, ,265.7,0.1,27,280.1,0.1,28,248.9,0.1,25,17.1,0.1,0,220.9,2.6,20.000,59.960,22.500,255.000,6095.000,10473.000,29.2, ,0.00,0.000,0.000,0.000, 
99,11/06/2022 16:39:43 (UTC-4:00),Normal, ,253.8,0.1,25,280.0,0.1,28,228.5,0.1,23,10.5,0.1,0,221.3,2.7,20.000,59.980,22.500,255.000,6095.000,10473.000,29.1, ,0.00,0.000,0.000,0.000, 
100,11/06/2022 16:44:47 (UTC-4:00),Normal, ,237.6,0.1,24,256.7,0.1,26,212.6,0.1,21,16.2,0.1,0,220.5,2.6,20.000,59.950,22.500,255.000,6095.000,10473.000,29.0, ,0.00,0.000,0.000,0.000, 
101,11/06/2022 16:49:51 (UTC-4:00),Normal, ,168.6,0.1,17,155.4,0.1,16,155.2,0.1,16,12.8,0.1,0,219.9,2.5,20.000,59.950,22.500,255.000,6095.000,10473.000,28.8, ,0.00,0.000,0.000,0.000, 
