Inverter All History Report_13/05/2023_Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020041,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045966636,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Current U(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,13/05/2023 05:29:18 (UTC-4:00),Normal, ,111.3,0.1,11,115.7,0.1,12,109.9,0.1,11,0.0,0.1,0,221.2,0.3,20.000,60.020,0.000,388.000,4981.000,22941.000,23.9, ,0.00,0.000,0.000,0.000, 
2,13/05/2023 05:34:18 (UTC-4:00),Normal, ,367.2,0.1,37,330.7,0.1,33,330.1,0.1,33,14.3,0.1,0,222.0,2.6,20.000,60.020,0.000,388.000,4981.000,22941.000,24.3, ,0.00,0.000,0.000,0.000, 
3,13/05/2023 05:39:22 (UTC-4:00),Normal, ,298.9,0.1,30,269.3,0.1,27,268.9,0.1,27,13.3,0.1,0,221.3,2.5,20.000,60.000,0.000,388.000,4981.000,22941.000,24.9, ,0.00,0.000,0.000,0.000, 
